OBJECTNUMMER,ABSREL,Stemdistrict,Stemlocatie,Opgeroepenen,Geldig,Blanco,Ongeldig,Opkomstpercentage,Grootste_partij,Grootste_aantal,Grootste_percentage,Tweede_partij,Tweede_aantal,Tweede_percentage,Verschil_aantal,Verschil_percentage,GroenLinks,D66,PvdA,VVD,Partij_voor_de_Dieren,Forum_voor_Democratie,DENK,SP,PVV,CDA,ChristenUnie,50PLUS_Partij_vd_Ouderen,Code_Oranje,NIDA,Ouderenpartij_NH,_GroenLinks,_D66,_PvdA,_VVD,_Partij_voor_de_Dieren,_Forum_voor_Democratie,_DENK,_SP,_PVV,_CDA,_ChristenUnie,_50PLUS_Partij_vd_Ouderen,_Code_Oranje,_NIDA,_Ouderenpartij_NH,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
125,ABS,607,De Delta,3108,990,2,0,31.9,Forum voor Democratie,202,0,VVD,176,0,26,0,102,85,96,176,31,202,46,45,89,32,34,17,23,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,749154","52,49595",,
126,REL,607,De Delta,3108,990,2,0,31.9,Forum voor Democratie,0,20.4,VVD,0,17.8,26,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,8.6,9.7,17.8,3.1,20.4,4.6,4.5,9,3.2,3.4,1.7,2.3,0.3,0.9,"4,749154","52,49595",,
127,ABS,608,Jongerenruimte BAAZ De Kaaik,3667,2137,5,5,58.5,Forum voor Democratie,401,0,VVD,352,0,49,0,242,201,173,352,91,401,138,103,169,96,46,46,44,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,750913","52,488266",,
128,REL,608,Jongerenruimte BAAZ De Kaaik,3667,2137,5,5,58.5,Forum voor Democratie,0,18.8,VVD,0,16.5,49,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,9.4,8.1,16.5,4.3,18.8,6.5,4.8,7.9,4.5,2.2,2.2,2.1,0.8,0.8,"4,750913","52,488266",,
129,ABS,609,Octant,1238,384,1,1,31.2,Forum voor Democratie,90,0,VVD,62,0,28,0,46,22,30,62,20,89,18,29,29,14,6,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,759978","52,484396",,
130,REL,609,Octant,1238,384,1,1,31.2,Forum voor Democratie,0,23.2,VVD,0,16.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.7,7.8,16.1,5.2,23.2,4.7,7.6,7.6,3.6,1.6,2.3,1.6,0,1,"4,759978","52,484396",,
131,ABS,701,Dorpshuis De Kwaker,1768,895,0,1,50.7,Forum voor Democratie,177,0,VVD,143,0,34,0,97,51,62,143,64,177,1,55,74,67,53,24,16,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,776205","52,448891",,
132,REL,701,Dorpshuis De Kwaker,1768,895,0,1,50.7,Forum voor Democratie,0,19.8,VVD,0,16,34,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,5.7,6.9,16,7.2,19.8,0.1,6.1,8.3,7.5,5.9,2.7,1.8,0.3,0.9,"4,776205","52,448891",,
133,ABS,702,Wijksteunpunt Lambert Melisz,1013,566,5,3,56.7,Forum voor Democratie - VVD,102,0,VVD - Forum voor Democratie,102,0,0,0,57,34,71,102,33,102,1,36,38,38,19,15,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,76976","52,463848",,
134,REL,702,Wijksteunpunt Lambert Melisz,1013,566,5,3,56.7,Forum voor Democratie - VVD,0,18,VVD - Forum voor Democratie,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,6,12.5,18,5.8,18,0.2,6.4,6.7,6.7,3.4,2.7,1.6,0,1.9,"4,76976","52,463848",,
135,ABS,703,De Grote Kerk,1028,837,4,1,81.9,VVD,133,0,Forum voor Democratie,130,0,3,0,110,67,102,133,55,130,1,52,64,46,30,17,12,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,772024","52,463986",,
136,REL,703,De Grote Kerk,1028,837,4,1,81.9,VVD,0,15.9,Forum voor Democratie,0,15.5,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,8,12.2,15.9,6.6,15.5,0.1,6.2,7.6,5.5,3.6,2,1.4,0.1,2,"4,772024","52,463986",,
137,ABS,203+204,Wijkcentrum De Vuister,2422,1616,2,1,66.8,Forum voor Democratie,270,0,PvdA,221,0,49,0,204,127,221,154,102,270,17,122,105,75,76,85,21,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,799272","52,457581",,
138,REL,203+204,Wijkcentrum De Vuister,2422,1616,2,1,66.8,Forum voor Democratie,0,16.7,PvdA,0,13.7,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,7.9,13.7,9.5,6.3,16.7,1.1,7.5,6.5,4.6,4.7,5.3,1.3,0.4,1.9,"4,799272","52,457581",,
